id,date,text,zero_shot_label,zero_shot_score
Zoe Luce,9/28/2023,this is a really fun game with lots of potential.. but like.. you get one map and if you want other maps they're $5 a piece after already paying $3.99 for the game.. so as soon as you unlock your collectables on your one and only map it gets boring and you don't want to play anymore. Maps should be unlockable.. imo was super fun to play though reminds me of the old PlayStation game of life back in the day. Use to be my favorite.,Value for Money,0.4324399530887604
Ashley M,4/29/2021,"I've been looking for a game that I can play that doesn't require coins or dumping money into it to keep going. This is the one. Really fun with length gameplay. Some people don't like the lack of character customization. I don't mind it too much, but that is one area of improvement I see. Can't complain much though - the lack of being bombarded with ads, no coins or timed rewards to play, id gladly pay .99 for a cute character outfit. Awesome job with this one!",Content and Length,0.35913780331611633
Adam Taylor,6/20/2021,"You get 1 map, then have to pay for each map after. Spinner is not actually random. I've tested this, and the spinner will only give you certain numbers, based on your choice at the stops. The computer characters make terrible choices, yet are very ""lucky"" when it comes to landing on the spot they need. You usually win the game, but this game is full of errors. You also spend more time waiting for the other characters to finish, than anything else. This could be a great game,",Gameplay and Controls,0.49856752157211304
K S,9/5/2020,"Meh...I like some of the options they've added like adopting pets and the gender neutral character, the option not to get married, but there just doesn't seem to be as much variety or as many options as the first one. It just kind of feels extended and dragged out. The only thing you really work at is getting the achievements. Graphics are better of course but not really enough to grab me. Played it a couple of time to see if it got more interesting. Nope. Get #1 if you want to play.",Content and Length,0.5469878911972046
DRG BS,7/17/2020,"It is ok, but here is an issue that I'd like to address for improvement. Online play is a disparaging experience. People tend to quit with no repercussions for it. The game is slow but with details, it is fine if people don't bail. You can tell a player quits when it takes 4 minutes for it to ""auto"" spin. Also, when a player has quit and lands on an action/event tile, the game stops progressing! Stuck until the ""player"" clicks an option. I waited for 20+ min. and the 2 choices were still there!",Value for Money,0.2684116065502167
Julianne,8/7/2020,"The game is fun but short. Especially since the spin function doesn't work well. The amount of times I spin and get a 7, 8, 9, or 10 doesn't seem statistically fair. I feel like I am always going to spin high, thus landing on barely anything good or bad. I wish there was an option for a longer board. At very least, an improvement to randomozation of the spin or use dice instead.",Gameplay and Controls,0.36354923248291016
Miranda Danforth,1/30/2021,"I wish there were more board options without having to buy an add-on, it's gets a little repetitive. That being said I really enjoy the game, no issues with connecting to other players online. My daughter and I love to play the pass it mode a lot too. I love the new outfits and such that you can earn like little achievements. It's basically a faster version of the old school board game.",Value for Money,0.3567885160446167
Saigey Marie,5/31/2021,"The maps could be longer or have an option to switch to 1-5 instead of 1-10 to make it longer and be able to land on more spaces in the game. Could have added power ups or minigames to make it more interesting. The layout is the same in all of them, only the theme is different. I do like the ability to unlock more vehicles, outfits and portraits and the fact there is a nonbinary character. Overall the game is fun but it could be enhanced for better gameplay.",Content and Length,0.6311995983123779
April Sherman,6/9/2021,"Awesome graphics. However I just downloaded the game today and it's already buggy. It started freezing up repeatedly in a game to the point where I had to exit least twice to get the game going, and then finally I wasn't even giving the option to exit anymore and I had to shut the app down and reopen. That caused me to lose the remainder of the game.",Graphics and Visual Quality,0.7507633566856384
Bethany Ng Tang,8/25/2021,"Was really excited to download this game. What you get for $4 is 1 board, the standard outfits and cars, and if you complete 6 ""missions"" you can unlock some really disappointing outfits and 2 cars that look alike. If you want the FULL game, it's $34.99+tax. Outfits start at $.99 and can go up to $3.99, with new boards for $5 a piece. Extremely let down for a game I paid for.",Value for Money,0.38943740725517273
Nicholas R,9/1/2021,"It's a pretty decent mobile game to pass the time. No advertisements which is good since you have to pay money for it. It's a little small in content however. And pretty heavily focused on RNG. But it is modeled after The Game of Life board game which is entirely luck based. This, however, makes it annoying when trying to complete a specific challenge. You can go 4 games in a row and never have a baby just because of unlucky spins. Overall it's pretty good, but could definitely be improved upon",Content and Length,0.3612464368343353
Mischa Bodenschatz,5/28/2022,"I really enjoy the game. The only problems I have is that I can no longer play on my switch, and on my phone the maps cost money. When I try to play on the switch the map turns purple, and all I can see is the cards. Please fix this glitch. And if it is not to much make a 4 dollar expansion pack of all the maps. Make the separately maps 1 dollar each. That will get you a lot more buys. Other than these two things the game is amazing.",Value for Money,0.34614285826683044
Kate Hoyt,8/4/2020,"The map is too short. In most of my playthroughs none of the players get a house, let alone buy and sell more than one. Seems like a waste of an idea since it's so rare to land on a house space. There are also many playthroughs without any pets or kids. The map is just too short to experience the content. Also each game has 4 players but there are only 3 different icons to choose. Other than that, it is fun!",Content and Length,0.8406498432159424
LG Hakubi,7/18/2021,"It's okay. I like the updates but the old board game feels more full and dynamic. The spinner needs adjustments because it's way too easy to blast to the end of the game without getting any options. Like I always blow by the family and investment tiles when going down those routes yet somehow I always land on taxes. The game only runs long because you have to wait for everyone, the board isn't large at all. Fast forward should just stay on. DLC costs are incredibly high and not worth it.",Gameplay and Controls,0.4140869379043579
Reiko Aburame\Breezy Bree,1/31/2021,"The game is excellent, the graphics are great, everything pretty much is good except for multiplayer when someone is taking too long. Is there a way you can kick them from the game or they get kicked out because it halters the game significantly when you have to wait for a very slow person (looking at you McDino).",Graphics and Visual Quality,0.7308448553085327
Laura Herman,2/18/2022,"I love it! It's much more fun and enjoyable than the board game, plus there's online multiplayer too, which makes it that much better. However, there is a bug I noticed... Often, in online multiplayer, when someone chooses a job, the game shows the one they didn't pick when it decides their number, it can get confusing. Other than that, it's an amazing game! I purchased the season pass and I don't regret it!",Value for Money,0.6067346334457397
B. P.,1/28/2021,"It's a decent game, but the turns can take too long for online play. Also, there are definitely glitches and bugs that need to be addressed. The game freezes constantly, to the point where you have to close the app in the middle of a game and lose that game. I have a Note20 Ultra, and this game constantly freezes..",Content and Length,0.5165956020355225
