id,date,text
Zoe Luce,9/28/2023,this is a really fun game with lots of potential.. but like.. you get one map and if you want other maps they're $5 a piece after already paying $3.99 for the game.. so as soon as you unlock your collectables on your one and only map it gets boring and you don't want to play anymore. Maps should be unlockable.. imo was super fun to play though reminds me of the old PlayStation game of life back in the day. Use to be my favorite.
Ashley M,4/29/2021,"I've been looking for a game that I can play that doesn't require coins or dumping money into it to keep going. This is the one. Really fun with length gameplay. Some people don't like the lack of character customization. I don't mind it too much, but that is one area of improvement I see. Can't complain much though - the lack of being bombarded with ads, no coins or timed rewards to play, id gladly pay .99 for a cute character outfit. Awesome job with this one!"
Adam Taylor,6/20/2021,"You get 1 map, then have to pay for each map after. Spinner is not actually random. I've tested this, and the spinner will only give you certain numbers, based on your choice at the stops. The computer characters make terrible choices, yet are very ""lucky"" when it comes to landing on the spot they need. You usually win the game, but this game is full of errors. You also spend more time waiting for the other characters to finish, than anything else. This could be a great game,"
K S,9/5/2020,"Meh...I like some of the options they've added like adopting pets and the gender neutral character, the option not to get married, but there just doesn't seem to be as much variety or as many options as the first one. It just kind of feels extended and dragged out. The only thing you really work at is getting the achievements. Graphics are better of course but not really enough to grab me. Played it a couple of time to see if it got more interesting. Nope. Get #1 if you want to play."
DRG BS,7/17/2020,"It is ok, but here is an issue that I'd like to address for improvement. Online play is a disparaging experience. People tend to quit with no repercussions for it. The game is slow but with details, it is fine if people don't bail. You can tell a player quits when it takes 4 minutes for it to ""auto"" spin. Also, when a player has quit and lands on an action/event tile, the game stops progressing! Stuck until the ""player"" clicks an option. I waited for 20+ min. and the 2 choices were still there!"
Julianne,8/7/2020,"The game is fun but short. Especially since the spin function doesn't work well. The amount of times I spin and get a 7, 8, 9, or 10 doesn't seem statistically fair. I feel like I am always going to spin high, thus landing on barely anything good or bad. I wish there was an option for a longer board. At very least, an improvement to randomozation of the spin or use dice instead."
Miranda Danforth,1/30/2021,"I wish there were more board options without having to buy an add-on, it's gets a little repetitive. That being said I really enjoy the game, no issues with connecting to other players online. My daughter and I love to play the pass it mode a lot too. I love the new outfits and such that you can earn like little achievements. It's basically a faster version of the old school board game."
Saigey Marie,5/31/2021,"The maps could be longer or have an option to switch to 1-5 instead of 1-10 to make it longer and be able to land on more spaces in the game. Could have added power ups or minigames to make it more interesting. The layout is the same in all of them, only the theme is different. I do like the ability to unlock more vehicles, outfits and portraits and the fact there is a nonbinary character. Overall the game is fun but it could be enhanced for better gameplay."
April Sherman,6/9/2021,"Awesome graphics. However I just downloaded the game today and it's already buggy. It started freezing up repeatedly in a game to the point where I had to exit least twice to get the game going, and then finally I wasn't even giving the option to exit anymore and I had to shut the app down and reopen. That caused me to lose the remainder of the game."
Bethany Ng Tang,8/25/2021,"Was really excited to download this game. What you get for $4 is 1 board, the standard outfits and cars, and if you complete 6 ""missions"" you can unlock some really disappointing outfits and 2 cars that look alike. If you want the FULL game, it's $34.99+tax. Outfits start at $.99 and can go up to $3.99, with new boards for $5 a piece. Extremely let down for a game I paid for."
Nicholas R,9/1/2021,"It's a pretty decent mobile game to pass the time. No advertisements which is good since you have to pay money for it. It's a little small in content however. And pretty heavily focused on RNG. But it is modeled after The Game of Life board game which is entirely luck based. This, however, makes it annoying when trying to complete a specific challenge. You can go 4 games in a row and never have a baby just because of unlucky spins. Overall it's pretty good, but could definitely be improved upon"
Mischa Bodenschatz,5/28/2022,"I really enjoy the game. The only problems I have is that I can no longer play on my switch, and on my phone the maps cost money. When I try to play on the switch the map turns purple, and all I can see is the cards. Please fix this glitch. And if it is not to much make a 4 dollar expansion pack of all the maps. Make the separately maps 1 dollar each. That will get you a lot more buys. Other than these two things the game is amazing."
Kate Hoyt,8/4/2020,"The map is too short. In most of my playthroughs none of the players get a house, let alone buy and sell more than one. Seems like a waste of an idea since it's so rare to land on a house space. There are also many playthroughs without any pets or kids. The map is just too short to experience the content. Also each game has 4 players but there are only 3 different icons to choose. Other than that, it is fun!"
LG Hakubi,7/18/2021,"It's okay. I like the updates but the old board game feels more full and dynamic. The spinner needs adjustments because it's way too easy to blast to the end of the game without getting any options. Like I always blow by the family and investment tiles when going down those routes yet somehow I always land on taxes. The game only runs long because you have to wait for everyone, the board isn't large at all. Fast forward should just stay on. DLC costs are incredibly high and not worth it."
Reiko Aburame\Breezy Bree,1/31/2021,"The game is excellent, the graphics are great, everything pretty much is good except for multiplayer when someone is taking too long. Is there a way you can kick them from the game or they get kicked out because it halters the game significantly when you have to wait for a very slow person (looking at you McDino)."
Laura Herman,2/18/2022,"I love it! It's much more fun and enjoyable than the board game, plus there's online multiplayer too, which makes it that much better. However, there is a bug I noticed... Often, in online multiplayer, when someone chooses a job, the game shows the one they didn't pick when it decides their number, it can get confusing. Other than that, it's an amazing game! I purchased the season pass and I don't regret it!"
B. P.,1/28/2021,"It's a decent game, but the turns can take too long for online play. Also, there are definitely glitches and bugs that need to be addressed. The game freezes constantly, to the point where you have to close the app in the middle of a game and lose that game. I have a Note20 Ultra, and this game constantly freezes.."
Constance Fontenot,6/21/2021,I love everything about the game but I have a few problems. When playing by myself I literally just now have lost 10 times in a row from the bottom. Please fix. And I keep trying to land on family to complete one of the collections and with 10 games I haven't landed on family once even with risky route and everything. Please pay attention and try to fix. I will give it 5 stars cause other than that it's perfect!
Cierra Berrie,9/2/2020,I really enjoy this game! But with the update I lost all of my collectibles... Also seeing a longer game option would be wonderful! I enjoy the shorter board too but having that variety would be a lot of fun. More house spots and more job spots. Even so more risk. Maybe adding in a lose your job space(s) just to make things a little more interesting.
J Barefoot,2/12/2021,It's ok. I didn't mind paying to download. I just hate that you have to pay more to unlock new boards. I pretty much got most of the achievements filled for the free/first/only board you can play. I found myself bored of the same board. I think each board to unlock costs 3.99 or 4.99 (US). Then if you want to unlock other vehicles or outfits etc it too cost 99-3.99. It's ok overall. Going to uninstall though since I got bored of it.
Holly Hedges,3/16/2021,"Not worth it. You pay to download and if you want to open any more boards you have to pay for them. They should have made it so you unlock new boards as you accomplish tasks. I could understand paying for extras like avatars, outfits, and vehicles, but the boards shouldn't be a paid item. It was fun for the first couple of times, but it got boring really quickly. Unless you buy the new boards the game quickly loses its luster."
Chyanne DeLong,12/14/2020,Pay to play game 💰💰💰 If you have alot of money then you can really enjoy the app. Cause when I bought it I thought I would have gotten all of it but I was wrong. It includes season passes you can choose to pay. But the game gets boring once you finish the original one. Honestly it feels like the computer is not going getting to pay taxes or and is always getting high numbers and is always going first. It also seems that the computer ends up but gets money 💰 from me but not the taxes.
Rosemary Hernandez,10/24/2020,"If I would have known we only get to play 1 map and have to pay for the others, I would have never purchased this. It's a fun game, but i thought more maps would be become available over time for free or you have to gain puzzle pieces to get it. Something like that. I don't recommend if you only want to play 1 map or don't mind paying more for each map."
Wesley Coon,7/16/2020,I love this game so far! Couple of things though! 1) there needs to be a timer for when an online opponent takes too much time just to speed up the game. 2) I feel like different game modes would be an awesome way to kill time and earn prizes. If that's not possible I understand! Overall love the game and I hope to see some great improvements!!!
Ronnie Hulen,4/1/2023,"Really fun, idle type game. The transactions and bundles are set up beautifully! I didn't want the Frozen Lands bundle, but I really wanted the bear avatar; boom, 99¢ and I got the only thing I wanted, rather than having to fork over $4 for a bunch of things I don't. No ads, runs smoothly, fun challenges to earn free outfits and unlock things if you're a completionist. All around, my favorite game on my phone!"
Fatima Gaskins,7/30/2021,"It's the game of life, but better. The reason for a low rating is that I paid $3.99 for it. Doesn't that mean I should be able to unlock new aspects of the game for free? Why is it $34.99 for all locked content at a ""steal"" of 73% off or $4.99 each? I have no problem paying for a great game, but that should come with a way to unlock all game content for free. If you want to microtransaction people do what other previously paid games (like Plants v. Zombies 2) did and become free."
Karla Grubb,1/17/2021,"It's a fun game. It reminds me of the original board game. You can also play with friends in person by passing the phone, or with online players. In single player mode, you can raise the speed of the bots to 5X. Shortcomings are that even though I paid for the game, I still have to pay more money for any bells & whistles. And, the game does not have the stock, or fire & auto insurance. Cute game!"
Missy Menawonu,7/30/2020,"I liked the first one better, this one is lacking. I have to sit and watch an ad to skip all the CPUs turns when I just spent $3.99 plus tax. Yeah I do not think so. I got my refund and I will not be putting it on my device again. I wish the first game was still being worked on, this is a huge letdown when I was expecting to be blown away. I'd take the crashes and glitches from the first game over this lackluster excuse for a follow up. Talking about fast forwarding through their turns."
Misty Roop,5/1/2022,"The only way to win the game is to choose to stay single and take the investment route. If you get married and go the family route, you lose every time. I also felt that it could last longer. The board seems much shorter, and there is not very much variety between the life cards or job cards. They are very repetitive. Too many things have been changed in not so good ways in my opinion. It's a poor sequel to a great classic game."
