Name,Date,Text,Label,Score
Adam Taylor,6/20/2021,"You get 1 map, then have to pay for each map after. Spinner is not actually random. I've tested this, and the spinner will only give you certain numbers, based on your choice at the stops. The computer characters make terrible choices, yet are very ""lucky"" when it comes to landing on the spot they need. You usually win the game, but this game is full of errors. You also spend more time waiting for the other characters to finish, than anything else. This could be a great game,",negative,0.4618437886238098
DRG BS,7/17/2020,"It is ok, but here is an issue that I'd like to address for improvement. Online play is a disparaging experience. People tend to quit with no repercussions for it. The game is slow but with details, it is fine if people don't bail. You can tell a player quits when it takes 4 minutes for it to ""auto"" spin. Also, when a player has quit and lands on an action/event tile, the game stops progressing! Stuck until the ""player"" clicks an option. I waited for 20+ min. and the 2 choices were still there!",negative,0.8064666390419006
April Sherman,6/9/2021,"Awesome graphics. However I just downloaded the game today and it's already buggy. It started freezing up repeatedly in a game to the point where I had to exit least twice to get the game going, and then finally I wasn't even giving the option to exit anymore and I had to shut the app down and reopen. That caused me to lose the remainder of the game.",negative,0.9253332614898682
Laura Herman,2/18/2022,"I love it! It's much more fun and enjoyable than the board game, plus there's online multiplayer too, which makes it that much better. However, there is a bug I noticed... Often, in online multiplayer, when someone chooses a job, the game shows the one they didn't pick when it decides their number, it can get confusing. Other than that, it's an amazing game! I purchased the season pass and I don't regret it!",positive,0.9654927849769592
Holly Hedges,3/16/2021,"Not worth it. You pay to download and if you want to open any more boards you have to pay for them. They should have made it so you unlock new boards as you accomplish tasks. I could understand paying for extras like avatars, outfits, and vehicles, but the boards shouldn't be a paid item. It was fun for the first couple of times, but it got boring really quickly. Unless you buy the new boards the game quickly loses its luster.",negative,0.7731763124465942
Misty Roop,5/1/2022,"The only way to win the game is to choose to stay single and take the investment route. If you get married and go the family route, you lose every time. I also felt that it could last longer. The board seems much shorter, and there is not very much variety between the life cards or job cards. They are very repetitive. Too many things have been changed in not so good ways in my opinion. It's a poor sequel to a great classic game.",negative,0.6742482781410217
B Patel,10/20/2020,"After purchasing the app, I did not know I would only able to play one map. For other maps I have to pay extra - double than the purchased app. Don't purchase the app unless you want to play with one map only. There are plenty of free apps in the market rather than wasting money on it. Edit:Awesome! The team is working hard to resolve the bugs. Everything looks good except minor bugs. When the bot selectes the career, it represents alternative selction done by bot to the users.",neutral,0.45608770847320557
Scott Barton,7/29/2022,"Ok Game, but too slow and anything extra is paywalled within the game. You get a few small collectibles but if you want to change the board or anything to do with the game its extra. I paid for the game, I'd like everything in it. The cut scenes in the pass and play mode are too slow, the game has 1 clear winning path every time you play, college>invest>house>safe(anything else loses). There isn't enough variety to keep the game interesting, it gets boring after just a few play-throughs.",negative,0.7516198754310608
dstarsfranklin,10/14/2023,Fun and fast. Would like a longer board.,positive,0.9702854752540588
Brittany Lafferty,7/16/2023,The game was fun up until the recent update I guess...now It tells me my device no longer supports the app. How do you change it from a system you already had to pay to play it to begin with ??,negative,0.7529770135879517
Caleb Whiting,1/20/2021,"Great game with solid replayability, but caught me off guard with misleading in app purchases. I bought one of the ""new worlds"" to play with my girlfriend only to discover that it only changes the cosmetic appearance without altering the original board in any way. Advertised as ""new worlds, visuals and cosmetics"", you would expect an entire new board rather than a skin. I would typically request a refund, however, the game is still enjoyable and I wish the developers all the best.",negative,0.59113609790802
Masquerade PW,7/29/2021,"Fun but flawed. While the game is fun, it's hard to tell whether you're playing against AI or players. Frequently, you'll end up facing opponents who only get perfect rolls. This makes it frustrating to play because the RNG begins feeling incredibly lopsided. It's also tough to play with friends because you can't invite friends to matchmade sessions - if you want to play with your friends, you'll have to accept that your only other opponents will be the AI. Ultimately, I recommend the game",negative,0.8234171271324158
Vero Rodriguez,7/21/2020,Fun! It's very fun to play and it is so awesome. You put a lot of effort into this and I love it. Though there is a problem. I'm multiplayer some people never ready up. Can you make it so they have atleast 1:30 to ready up before getting kicked or something? I also found a bug there. When you try to press the ready button sometimes it wont work. There are some problems but other than that I would recommend buying this game.,positive,0.9147340655326843
C J,5/31/2022,"Online feature doesn't work. It says there's a connection issue but my Internet is working fine. Apparently there's not many players who use it anyway, however that might be too do with the connection issues. The game is also very quick, and there is not a big variety of cards. The same cards come up each game so I think this will get boring quite quickly, particularly going against a computer all the time. It's a game that has promise, but needs work.",negative,0.7428673505783081
Sumon Khan,7/28/2020,"This game is good, but whenever someone is not taking their turn it keeps loading, there should be a time limit for taking turn or choosing the choices! Edit: Ty, now there is timer! And one more thing, it will be great if there is a league system based on points or what you think better! It will attract people more to play! Or this game will be boring after playing week!",positive,0.6783801317214966
Pork Chopper,6/8/2021,It's the Game of Life. If you've played the board game you know roughly what to expect. It's got one really big problem though. The maps are comically short. I get it. Some mobile gamers want quick experiences. But there should be an option. A longer map and a shorter map. I've played a few games but I honestly don't think I'll be going back because it's too short to be enjoyable.,negative,0.7200700640678406
Brittany Michael,7/15/2020,Alright. Could be improved by fixing the big where you must press FF5x every time anything changes in the change (very annoying). Also in online multiplayer there should be a timeout when a player stops playing and the computer takes over for them. Otherwise you get trapped in limbo.,negative,0.6988669633865356
tazdevil335,1/2/2021,The game is a classic and if that's what you are looking for you may enjoy the game for 5 minutes. The game title makes the game sound like they added a ton of new features and better gameplay. However its the same exact game as the first just for more money. They even make you pay for the game and then try charging you in game purchases to get the addition maps for more money. The paid version is fun for about 5 minutes before It gets repetitive. When asking for a refund after it was denied.,positive,0.8424079418182373
Lee B,8/3/2020,"I have always love the game of life, and I love the updated and goal oriented gameplay of this one. I love the male, female, nonbinary choice for pieces. The reason I am doing 4 stars is becsuse of Fairytale Kingdom. My expectations were it would be a full fantasy map with everything altered to be fantasy/medieval-- considered the price. I was disappointed to find it was essentially just a fairytale skin. The house and jobs changed but everything else stayed modern. Poor purchasing choice.",positive,0.9359220862388611
Emily Groberski,8/9/2021,"One of my favorite Game of Life adoptions. The different boards are super neat and I love the different outfits. Totally worth it to buy the season pass. I do agree that it feels odd to charge for the base game and then make people pay for the different unlocks, but it keeps me entertained as well as something to do to pass the time with the kids while we're waiting in line or on long car rides.",positive,0.9773739576339722
Acliptic,7/20/2020,"So Having just played my first game prior to writing this review it was amazing the gameplay is incredible There was just one small problem and this is why I'm leaving 4 starts After accidently pressing the settings button I obviously pressed ""Resume"" but the banner that drops done when pressing settings got stuck halfway up the screen. So this meant I couldn't read the information that drops down at the end. So I thought Id write a review to let the Devs know (picture is available on request)",positive,0.7296366691589355
Bill Carlson,10/14/2022,The game is more generic than I expected. A little more interaction with the animations would be nice. As well as the choice to play two or three friends. Also navigating through the outfits and puzzle pieces are a little bit confusing.,negative,0.7957546710968018
Jon S,2/14/2021,"It's well done but I wish that I could unlock new outfits by just playing and unlocking them, rather than have to pay microtransactions. I'd get it if the game was free but I paid for this. Given, its just aesthetics, but its just annoying. 90 percent of the enjoyment I get out of games is unlocking things and its hard to come by with phone games. But it's a fun game, I'd reccomend it. I just wish developers took a step back from microtransactions if I have to pay for the game outright.",positive,0.4668734669685364
Daskut,7/20/2020,"Fun game overall, haven't seen any bugs yet and online works fine. ⚠️Only problem: 130€ (or 35€ at 73% off) for the full content after I already paid for the game!?!? Sorry but that's not gonna happen. I'm fine with having some microtransactions to get customizations and what not (like you have) but not with having to pay for 10 out of 11 maps (that will be released in the future). Easily worth 5 stars but the price makes it 3 until you change this.",positive,0.519711971282959
Sakhina De-Niro,2/10/2023,"I had some issues randomly start to happen, this is an isolated issue and it was fixed so quickly! The staff have been absolutely fantastic and kept me upto date, whilst fixing my problems. The game itself is fantastic and fun!! Yes there is in app purchases but it is well worth the money :D",positive,0.9180272221565247
John Dean,8/13/2020,"I would give this game 5 stars for playability but for a 4 dollar game, the amount of paid add-ons is insane. $30 for a season pass?!? Apex Legends and games alike don't charge nearly that much and add incentives to the pass. Player skins should be unlockable by player currency that could be implemented in the game but they want to charge $1 for a peg with clothes on it. I much prefer the original game of life. The only redeeming factor is that it is playable online with friends.",negative,0.5558388829231262
Nite Crawla,7/15/2020,"The game needs options. 1.) If a choose to speed up the Computer players to 5X speed I think I would want to speed up the other 2 computer players as well. It's assinie to keep having to click 5X speed for each computer players turn. I want to be play my turn not have to wait for all the animations for everything else. 2.) You want to grab my attention to tell me to soon for ""highest soon prize"" or that players are waiting for me to do something? how about a vibration notification?",neutral,0.6385790705680847
Tejpreet Mundi,1/11/2021,"Here are few suggestions to improve this game. 1: In game chat, emotes/taunts and voice chat with ability to mute players individually. Without them, the game feels boring without the social aspect. 2: Game feels too short sometimes. Maybe make another mode with more tiles, or more paths to choose from? 3: Jobs are almost always repetitive. I expected larger pool of jobs to choose from. And by that i don't just mean different names for them. 4: Ability to add friends. Specially fellow players.",negative,0.6053968071937561
Ashley Nicole,9/17/2020,"Within 10 minutes of opening the app it turns my whole phone off. At first i thought it was a coincidence but nope, it still shuts my phone completely off anytime i try to play the game. I havent even gotten to play a whole round, yet i paid money for the game. It doesnt give any warning or reason why my phone restarts but ive never had this happen to me before. I guess I'll be deleting the app since its only use seems to be taking up space, as of now.",negative,0.870766282081604
Jeff (Euphoria),5/2/2023,"I thought this game would be at least AS good and have as much depth as it's 98 counterpart. The game is trash. Can't believe I paid for it. No depth at all. Things happen and nothing matters. It's so short. You can complete a game in 5 minutes. I rolled 1 after 1 and the game only lasted for 15 minutes. Tldr: short, boring, life ripoff, every other feature other than base game locked behind about 100$ in pay wall, Short.",negative,0.9165775179862976
Cody Harrison,10/19/2020,"It's fun, but I should have looked into it more before purchasing a VIP pass. The additional worlds are the same as the main content; they just have different themes. Replayability is very lacking - especially if you purchase new worlds.",negative,0.5911872982978821
ro cc,1/20/2021,"The game itself is ok. The thing i dislike is the people playing it. There should be a 30 second timer implemented. If you don't move turn skipped. 3 strikes your out from being afk. Last few games we would be waiting like 3 minutes before someone would do a single spin, 3 minutes before they press the confirm button, and not skip a single scene when they are being that ignorant. I did rage quit because of it.",negative,0.8525798320770264
Tyson Gibson,4/16/2023,"Lots of fun, great graphics and nice add ons. Like that I can make choices. One minor complaint: some players are manipulating the spinner which is irritating. Seems like that could be fixed. Otherwise great game!",positive,0.9220185875892639
Elena Vigil,7/15/2022,"Do not purchase! Although you already bought the game, it only comes with one map. After that it is 5 dollars for each additional map. In reality a $30 dollar game that isn't worth it! Update! Then they contacted me explaining that it is because you pay for "" cosmetic in app purchases"". How about you advertise it that way from the beginning and stop stealing people's money for 1 boring map",negative,0.9209674596786499
Johnna Guillerman,10/26/2020,"Really fun but I think people might be cheating? Just strange when people roll perfectly every time. Also they should have an option for people to play different maps. Not just cosmetic changes but changes and additions to length, paths, etc",neutral,0.4262581169605255
Jinxie Joelle,12/31/2022,"Addictive game but many bug issues and drains the battery quick , put my phone to charge as I been playing more then 30 minutes and my battery went from 88% to 12% , I even had it on charge and my phone become hot with less battery percentage at 6% 😳and my friend experienced the same issue.... also should be and kick out or reload player options for players that don't press ready or lose connection when joining online.. otherwise I would say 5 stars .. please look into this issue. Regards",negative,0.8916573524475098
