Name,Date,Text,Label,Score
Zoe Luce,9/28/2023,this is a really fun game with lots of potential.. but like.. you get one map and if you want other maps they're $5 a piece after already paying $3.99 for the game.. so as soon as you unlock your collectables on your one and only map it gets boring and you don't want to play anymore. Maps should be unlockable.. imo was super fun to play though reminds me of the old PlayStation game of life back in the day. Use to be my favorite.,positive,0.6803325414657593
Ashley M,4/29/2021,"I've been looking for a game that I can play that doesn't require coins or dumping money into it to keep going. This is the one. Really fun with length gameplay. Some people don't like the lack of character customization. I don't mind it too much, but that is one area of improvement I see. Can't complain much though - the lack of being bombarded with ads, no coins or timed rewards to play, id gladly pay .99 for a cute character outfit. Awesome job with this one!",positive,0.8710657358169556
Saigey Marie,5/31/2021,"The maps could be longer or have an option to switch to 1-5 instead of 1-10 to make it longer and be able to land on more spaces in the game. Could have added power ups or minigames to make it more interesting. The layout is the same in all of them, only the theme is different. I do like the ability to unlock more vehicles, outfits and portraits and the fact there is a nonbinary character. Overall the game is fun but it could be enhanced for better gameplay.",positive,0.6566812992095947
Nicholas R,9/1/2021,"It's a pretty decent mobile game to pass the time. No advertisements which is good since you have to pay money for it. It's a little small in content however. And pretty heavily focused on RNG. But it is modeled after The Game of Life board game which is entirely luck based. This, however, makes it annoying when trying to complete a specific challenge. You can go 4 games in a row and never have a baby just because of unlucky spins. Overall it's pretty good, but could definitely be improved upon",positive,0.6675873398780823
Kate Hoyt,8/4/2020,"The map is too short. In most of my playthroughs none of the players get a house, let alone buy and sell more than one. Seems like a waste of an idea since it's so rare to land on a house space. There are also many playthroughs without any pets or kids. The map is just too short to experience the content. Also each game has 4 players but there are only 3 different icons to choose. Other than that, it is fun!",negative,0.7936925292015076
Constance Fontenot,6/21/2021,I love everything about the game but I have a few problems. When playing by myself I literally just now have lost 10 times in a row from the bottom. Please fix. And I keep trying to land on family to complete one of the collections and with 10 games I haven't landed on family once even with risky route and everything. Please pay attention and try to fix. I will give it 5 stars cause other than that it's perfect!,negative,0.7675856351852417
Cierra Berrie,9/2/2020,I really enjoy this game! But with the update I lost all of my collectibles... Also seeing a longer game option would be wonderful! I enjoy the shorter board too but having that variety would be a lot of fun. More house spots and more job spots. Even so more risk. Maybe adding in a lose your job space(s) just to make things a little more interesting.,positive,0.9448887705802917
Chyanne DeLong,12/14/2020,Pay to play game 💰💰💰 If you have alot of money then you can really enjoy the app. Cause when I bought it I thought I would have gotten all of it but I was wrong. It includes season passes you can choose to pay. But the game gets boring once you finish the original one. Honestly it feels like the computer is not going getting to pay taxes or and is always getting high numbers and is always going first. It also seems that the computer ends up but gets money 💰 from me but not the taxes.,positive,0.8138478398323059
Rosemary Hernandez,10/24/2020,"If I would have known we only get to play 1 map and have to pay for the others, I would have never purchased this. It's a fun game, but i thought more maps would be become available over time for free or you have to gain puzzle pieces to get it. Something like that. I don't recommend if you only want to play 1 map or don't mind paying more for each map.",negative,0.6806058287620544
Wesley Coon,7/16/2020,I love this game so far! Couple of things though! 1) there needs to be a timer for when an online opponent takes too much time just to speed up the game. 2) I feel like different game modes would be an awesome way to kill time and earn prizes. If that's not possible I understand! Overall love the game and I hope to see some great improvements!!!,positive,0.9573578834533691
Ronnie Hulen,4/1/2023,"Really fun, idle type game. The transactions and bundles are set up beautifully! I didn't want the Frozen Lands bundle, but I really wanted the bear avatar; boom, 99¢ and I got the only thing I wanted, rather than having to fork over $4 for a bunch of things I don't. No ads, runs smoothly, fun challenges to earn free outfits and unlock things if you're a completionist. All around, my favorite game on my phone!",positive,0.9519745111465454
Fatima Gaskins,7/30/2021,"It's the game of life, but better. The reason for a low rating is that I paid $3.99 for it. Doesn't that mean I should be able to unlock new aspects of the game for free? Why is it $34.99 for all locked content at a ""steal"" of 73% off or $4.99 each? I have no problem paying for a great game, but that should come with a way to unlock all game content for free. If you want to microtransaction people do what other previously paid games (like Plants v. Zombies 2) did and become free.",negative,0.43540266156196594
Hannah Turner,11/25/2023,The game is awesome now the only thing I don't like is you have to pay $4.99 for other levels but the game is cool either way I love it and it was totally worth paying for. ☺ lol at least I don't have to hear my brother yell every time someone takes his money 😂 😂 😂 I play with computers,positive,0.8710113167762756
Maria Wind,11/3/2023,Paid app and not working. Twice now I have had issues with being able to play the game. I contacted support and went through a reset process and it worked for a while but now cannot play again. Just annoying and not worth the money.,negative,0.9256924390792847
vchhjh n v jhrhudhvgiuf,11/7/2023,"It's a very fun game, all the different things you can do deserve in award, Not even Mentioning all the cool maps and environments.",positive,0.9773263335227966
Xander Dascomb,10/3/2023,"I feel like the single player is lop side. Most of the time I roll low numbers, and lose the competitive rolls. Also I'm rarely ever chosen to go first it's always the 2nd bot which causes me to be 3rd, but besides all that it's still entertaining to play.",negative,0.6828452348709106
Angela Calhoon,10/20/2023,This game is extremely boring. I only play it because I spent money buying it. I really regret buying it. The cost to add avatar options is ridiculous. I really would like my money back.,negative,0.9578624963760376
Queen Bee,9/28/2023,"Love this game, i have bought many worlds and play all the time with my friends on the pass and play option. My only wish is to have a different layout of the track in a couple of worlds. Its fun playing but it does get boring after a bit with the same road.",positive,0.9545361995697021
Martin Boyer (Evil),8/28/2023,"Ever since I was young and had my very first computer, I had played the board game, and the computer game. This game is very fun. I like the new boards and cosmetics. I love going for all the collectables one one board before moving on to the next. I've actually played this game for about 4 hours straight one night lol. Anyways, definitely recommend. Bravo Devs, Bravo!",positive,0.982585072517395
katelyn kramer,6/27/2023,"While there is a better variety of careers, and peg colors, I always end up rolling high and I don't get things like houses or kids. Not very fun when you don't get to experience everything, I've played several games and they always end the same. Also you get the same tile options in every pack, not a lot of variety.",negative,0.8056044578552246
Zayn Cheadle,10/21/2023,I love the game it has a few tweaks though hoping they can fix those but over all amazing. game especially for the price,positive,0.9515587687492371
Kelly Wood,8/27/2023,"Give me the original any day over this, it's so slow gettin a turn, where as the original it's literally seconds, there's no mini games either unlike the original, and not even anywhere near as long as the original either, not worth 3.99",negative,0.913748025894165
