Name,Date,Text,Label,Score
Sammy Rivera,9/21/2023,"It's a very fun game very much like the game of life, you can also play online multiplayer which is amazing, and there's pass and play so you can play it without buying the board game!",positive,0.9866744875907898
Kaylin F,1/10/2021,Game is okay but for the price I wouldn't really say worth it. Its very short and I have had it freeze on me 3 or 4 times. When it freezes you miss out on some in game stuff and it just jumps to your turn so you don't really know what happened. It has a bunch of potential but I wouldn't say its worth the money at this point. Make the board longer or at least give the option for a longer board and work out the little kinks and it would definitely be a great game,negative,0.7220203876495361
Mr. Cooper,2/9/2022,Problems: 1. 5x game speed resets every time a human player has a turn. 1x speed is far too slow even for a human player. 2. 5x game mode causes the game to regularly freeze. 3. There is no variation between maps other than the art. 4. 30 children requires too many replays of map to secure the collectible. The number required should be akin to the house requirement. 5. The intro should be skipable. 6. The computer AI too frequently makes poor decisions. 7. The spinner is RNG controlled.,negative,0.7791311144828796
Erik Hunt (whiskyjacked),6/23/2021,"Kinda fun, but you have to buy more maps...after buying the game!! What a joke! I can understand having to unlock more maps/boards but not having to BUY them all. And the game is pretty fun, but $35 on sale is what it costs on top of the game purchase to unlock the other boards. Shameful. Update!: It also loves to randomly freeze up completely!",negative,0.8590759634971619
Shana King,3/14/2022,Fun but the game keeps freezing and I have to hit save and quit to get it to unfreeze. Once it froze right at the end though when it was determining the winner and I had to force course and that game progress was lost. Now I'm having it so that it will randomly shut down completely and close the game on me. I was hoping to not have any issues but I'm not willing to buy the expansions as is right now.,negative,0.8878269195556641
Angel Smith,4/3/2022,"This game could be more fun if like someone said, there were longer boards. It does feel too short at times. But my main hangup is that this game freezes way too much. And it's not even my phone. I know ppl on other phones that it happens to. Shame but I really feel this should be free. Or at least no more than a few dollars for the whole thing (all expansion packs included).",negative,0.8266943097114563
Breyden Coates,4/1/2021,Occasionally the game just freezes and you have to close the app to fix this. It's happened 5 times on the final point screen and I didn't get to see the points or who won. I've only had game a day. If it weren't for the freezes this would be a great app.,negative,0.8091737627983093
J Ahn,9/17/2020,Fun game but freezes too much. Well not so much as completely frozen but it will not progress at times. Animation and sound still works but nothing happens until I restart the App. Edit: I cleared my cache and no longer had this issue. Not sure if its the app or my phone but will update if I encounter freezes again.,negative,0.7608919739723206
Alex Wawroski,2/15/2022,"A whole lot of fun, and surprisingly charming art and animation! I don't recommend the 5x speed up option because it causes freezes, but you can just minimize the number of opponents to speed things up instead.",positive,0.8526390194892883
Saltiest Meatball,1/25/2021,"Deapite having a top of the line phone and 5G/1GB Wifi, the game still refuses to play well. Constantly freezes either during the game or during the score tallying, forcing you to void the whole game. Happens basically every other game. I would vote 0 stars if I could. Poor optimization.",negative,0.9242299795150757
Terri Charlton,8/23/2020,"Game constantly freezes! I have missed many of the final scores due to the game freezing. When it freezes during gameplay, I can save and quit and return but the final score is pretty important and it won't allow me to save and return at that point.",negative,0.918840229511261
Evan Tolstov,10/3/2020,"This is a great game. However, it tends to freeze up on my turn quite a bit. It'll just keep being stuck in the screen until enough time passes when the game will play for me, at which point all I have left to do is just exit the game. It's a fun game, but it's sad that this is an issue. It keeps happening pretty often.",negative,0.7847111821174622
Stephen Callans,10/28/2020,The game is pretty fun. I bought the package with all the boards and now it won't let me play the single player mode. I have to pass and play or play online. Can you fix this? Update: had to uninstall and then reinstall he game. Works ok now. Does freeze from time to time. Not sure why. Pretty fun though.,positive,0.4364151656627655
Tejas Karandikar,1/20/2021,"The game is great but the only issues are that the game sometimes freezes and lags at most of the stages... Also the original way of spinning the dial should be brought back in order to decide who plays first... Other features that need to be introduced are, actual players in single mode by random matching and also more worlds, but for free...",negative,0.6520180702209473
