Name,Date,Text,Label,Score
K S,9/5/2020,"Meh...I like some of the options they've added like adopting pets and the gender neutral character, the option not to get married, but there just doesn't seem to be as much variety or as many options as the first one. It just kind of feels extended and dragged out. The only thing you really work at is getting the achievements. Graphics are better of course but not really enough to grab me. Played it a couple of time to see if it got more interesting. Nope. Get #1 if you want to play.",negative,0.6153126358985901
Julianne,8/7/2020,"The game is fun but short. Especially since the spin function doesn't work well. The amount of times I spin and get a 7, 8, 9, or 10 doesn't seem statistically fair. I feel like I am always going to spin high, thus landing on barely anything good or bad. I wish there was an option for a longer board. At very least, an improvement to randomozation of the spin or use dice instead.",negative,0.8019011616706848
Mischa Bodenschatz,5/28/2022,"I really enjoy the game. The only problems I have is that I can no longer play on my switch, and on my phone the maps cost money. When I try to play on the switch the map turns purple, and all I can see is the cards. Please fix this glitch. And if it is not to much make a 4 dollar expansion pack of all the maps. Make the separately maps 1 dollar each. That will get you a lot more buys. Other than these two things the game is amazing.",negative,0.6806155443191528
LG Hakubi,7/18/2021,"It's okay. I like the updates but the old board game feels more full and dynamic. The spinner needs adjustments because it's way too easy to blast to the end of the game without getting any options. Like I always blow by the family and investment tiles when going down those routes yet somehow I always land on taxes. The game only runs long because you have to wait for everyone, the board isn't large at all. Fast forward should just stay on. DLC costs are incredibly high and not worth it.",neutral,0.4402449131011963
Reiko Aburame\Breezy Bree,1/31/2021,"The game is excellent, the graphics are great, everything pretty much is good except for multiplayer when someone is taking too long. Is there a way you can kick them from the game or they get kicked out because it halters the game significantly when you have to wait for a very slow person (looking at you McDino).",positive,0.7870796322822571
B. P.,1/28/2021,"It's a decent game, but the turns can take too long for online play. Also, there are definitely glitches and bugs that need to be addressed. The game freezes constantly, to the point where you have to close the app in the middle of a game and lose that game. I have a Note20 Ultra, and this game constantly freezes..",negative,0.8826546669006348
Missy Menawonu,7/30/2020,"I liked the first one better, this one is lacking. I have to sit and watch an ad to skip all the CPUs turns when I just spent $3.99 plus tax. Yeah I do not think so. I got my refund and I will not be putting it on my device again. I wish the first game was still being worked on, this is a huge letdown when I was expecting to be blown away. I'd take the crashes and glitches from the first game over this lackluster excuse for a follow up. Talking about fast forwarding through their turns.",negative,0.8528077006340027
Jeffrey Kosse,10/13/2023,Will update Life 2 in a sec after a quick patch in for glitches so I don't need to rebuy content again. I played all the themes for this game.,neutral,0.559658944606781
Tristan Williams,8/30/2023,"Do yourself a favour and play this game offline. It's a joke playing this on the phone. Rolls are not random. And playing it online, people manipulate it far too easily because the speed required to justify a roll is far too low to actually be helpful. For me in multiple games to land on mostly tax spaces and then be beaten at the end by someone manipulating bucket list rolls every turn is a joke. This game is more frustrating than fun.",negative,0.87734454870224
JODIE Moore,9/29/2023,Question. Didn't know how to contact you any other way. Does the big bundle have Everything in it. I'm asking because I bought everything separately before the bundle popped up. I want to purchase all the things for my sissy. So if you could respond I would be greatful. Thank you.,neutral,0.6221478581428528
J Peters,9/7/2023,7/10 times it doesn't actually pick up on the fact I've spun. So annoying. Always seems to be when I spin a high number as well.,negative,0.8828239440917969
Shandel Langager,2/8/2021,"Great game! Reminiscent of the old classic board game with some fun little twists! Has kept me entertained for countless hours! Looking forward to more worlds and updates! Would be nice to have the option to skip through the animations to keep the game moving on in single player mode or be able to choose a longer or shorter ""trip"" with a bigger game board option and extra vehicles/costumes rewards for completing the larger board. I'm excited to see how this game progresses!",positive,0.9852161407470703
