Name,Date,Text,Label,Score
Ashley M,4/29/2021,"I've been looking for a game that I can play that doesn't require coins or dumping money into it to keep going. This is the one. Really fun with length gameplay. Some people don't like the lack of character customization. I don't mind it too much, but that is one area of improvement I see. Can't complain much though - the lack of being bombarded with ads, no coins or timed rewards to play, id gladly pay .99 for a cute character outfit. Awesome job with this one!",positive,0.8710657358169556
K S,9/5/2020,"Meh...I like some of the options they've added like adopting pets and the gender neutral character, the option not to get married, but there just doesn't seem to be as much variety or as many options as the first one. It just kind of feels extended and dragged out. The only thing you really work at is getting the achievements. Graphics are better of course but not really enough to grab me. Played it a couple of time to see if it got more interesting. Nope. Get #1 if you want to play.",negative,0.6153126358985901
Miranda Danforth,1/30/2021,"I wish there were more board options without having to buy an add-on, it's gets a little repetitive. That being said I really enjoy the game, no issues with connecting to other players online. My daughter and I love to play the pass it mode a lot too. I love the new outfits and such that you can earn like little achievements. It's basically a faster version of the old school board game.",positive,0.7763086557388306
April Sherman,6/9/2021,"Awesome graphics. However I just downloaded the game today and it's already buggy. It started freezing up repeatedly in a game to the point where I had to exit least twice to get the game going, and then finally I wasn't even giving the option to exit anymore and I had to shut the app down and reopen. That caused me to lose the remainder of the game.",negative,0.9253332614898682
Nicholas R,9/1/2021,"It's a pretty decent mobile game to pass the time. No advertisements which is good since you have to pay money for it. It's a little small in content however. And pretty heavily focused on RNG. But it is modeled after The Game of Life board game which is entirely luck based. This, however, makes it annoying when trying to complete a specific challenge. You can go 4 games in a row and never have a baby just because of unlucky spins. Overall it's pretty good, but could definitely be improved upon",positive,0.6675873398780823
Mischa Bodenschatz,5/28/2022,"I really enjoy the game. The only problems I have is that I can no longer play on my switch, and on my phone the maps cost money. When I try to play on the switch the map turns purple, and all I can see is the cards. Please fix this glitch. And if it is not to much make a 4 dollar expansion pack of all the maps. Make the separately maps 1 dollar each. That will get you a lot more buys. Other than these two things the game is amazing.",negative,0.6806155443191528
Reiko Aburame\Breezy Bree,1/31/2021,"The game is excellent, the graphics are great, everything pretty much is good except for multiplayer when someone is taking too long. Is there a way you can kick them from the game or they get kicked out because it halters the game significantly when you have to wait for a very slow person (looking at you McDino).",positive,0.7870796322822571
Laura Herman,2/18/2022,"I love it! It's much more fun and enjoyable than the board game, plus there's online multiplayer too, which makes it that much better. However, there is a bug I noticed... Often, in online multiplayer, when someone chooses a job, the game shows the one they didn't pick when it decides their number, it can get confusing. Other than that, it's an amazing game! I purchased the season pass and I don't regret it!",positive,0.9654927849769592
Ronnie Hulen,4/1/2023,"Really fun, idle type game. The transactions and bundles are set up beautifully! I didn't want the Frozen Lands bundle, but I really wanted the bear avatar; boom, 99¢ and I got the only thing I wanted, rather than having to fork over $4 for a bunch of things I don't. No ads, runs smoothly, fun challenges to earn free outfits and unlock things if you're a completionist. All around, my favorite game on my phone!",positive,0.9519745111465454
Lisa Piel-Jackson,10/7/2023,"I bought the app, which I rarely do, thinking of how much I used to love playing Life. Then I find out you only get one map and have to pay for any extras. Absolutely no way to earn them, it's pay real money or nothing. Total scam in my opinion. The game seems fun and graphics are cute but I don't need an app that is just a money pit. Returning it!",negative,0.8370701670646667
Nick Smith,10/28/2023,"Not worth the money. $3.99 to download and you only get access to one board. It's $4.99 each for the other boards. Gameplay is ok but repetitive after a couple games and without paying more, you won't get a different experience. Definitely not worth the money.",negative,0.9137387871742249
Katelyn Leslie,8/29/2023,I'm really disappointed in this app. I love the board game growing and was hoping this would be as enjoyable now that it's harder to find people to play the actual board game with. It's not. I feel like I wasted my money buying this because the game play time is too short. You don't have the options you do with the board game. It's really rather boring. I would love a more detailed game board that has more choices and events like insurance etc. And longer like the actual physical game.,negative,0.8843153119087219
Ambrosia Straub,6/27/2023,"I love the difference between the original and this one and really enjoyed playing. I then purchased the fairytale, started a new game, and was so excited to see the cool new gameboard! The 1st player landed on an action space and that's where the disappointment set in. The action cards are the same as in the basic version! I did enjoy seeing the careers are all new, but it's disappointing to see the same old action cards that I'm already bored with that don't have anything to do with fairytales",positive,0.9693782925605774
B Patel,10/20/2020,"After purchasing the app, I did not know I would only able to play one map. For other maps I have to pay extra - double than the purchased app. Don't purchase the app unless you want to play with one map only. There are plenty of free apps in the market rather than wasting money on it. Edit:Awesome! The team is working hard to resolve the bugs. Everything looks good except minor bugs. When the bot selectes the career, it represents alternative selction done by bot to the users.",neutral,0.45608770847320557
Heaven Dillehay,11/21/2023,I love this game so much it's so much fun no ads no anything only part on the game and so realistic of the actual game,positive,0.980527400970459
Jess Boggs,3/13/2021,"Not bad, some action cards are repetitive as mentioned, I kinda hoped the mini games were actual games and not just spinning the wheel. I got this on sale, however I do wish there was a way you could gain access to the new lands versus just having to keep paying. Update: purchased a new world and all this game really has to offer (for the price of $7 CAD) is different cars, avatar picture and outfits for character. The game play itself gets boring and doesn't really change from world to world.",negative,0.5430302023887634
Brittany Lafferty,7/16/2023,The game was fun up until the recent update I guess...now It tells me my device no longer supports the app. How do you change it from a system you already had to pay to play it to begin with ??,negative,0.7529770135879517
Jarne Vercammen,11/30/2020,It's a great game. The controls are nice and they even added a option for a purple peg indicating non-binary people what is already a step up from the first game of life. But the game of life always has been about the money how much you have art he end and this version kinda defeats the purpose by adding other points. Also for already being a payed game I find it a bit weird to have to pay 10 bucks to get the full experience. For the rest solid game.,positive,0.9032875895500183
Sarah Holt,9/16/2020,"If you like playing the board game, then you will like this version. You have multiple options to play, individual, pass to a friend, even online against other players. You can collect puzzle pieces by accomplishing different tasks as you play and unveil new vehicles, outfits and avatars. I love the online feature and different world. Look forward to more in future.",positive,0.9663401246070862
Anna D. (Sebbanna J.),6/27/2023,I purchased the Haunted Hills Map a few weeks back and now it's telling me I need to purchase it again. A little bit irritated with that and don't want to be purchasing it over and over again if that's the case. And yes I have Uninstalled and reinstalled the game. Nothing changed by doing that.,negative,0.8372220993041992
Elizabeth Pringle,8/18/2020,"This version is so much better than the original! Theres much more freedom in how you play, so you're not really 'required' to get married and have children to win. It's more about the experiences you gather, so I won by staying single, buying my own apartment and adopting a cat and dog while studying for a masters degree! It feels more satisfying, so I started playing making my own choices, instead of tactically deciding how I can get more stuff!",positive,0.9373134970664978
Taylor Baldwin,8/5/2020,"Great so far! The graphics are awesome. The little pegs of people and animals are adorable and still board game feeling! The only thing from 5 stars is... Sometimes it loads and freezes, so I've had to force close the app several times but hey! Its still a work in progress and so far its just like life!",positive,0.9649524688720703
Anthony D,9/28/2020,Game can be fun. Too short of a board as far as game play. It's upsetting to pay for it only to open it up and find there is another board completely hidden behind a pay wall that's more expensive than the game itself..?..cosmetics are a little pricey for what you get too in my opinion. Otherwise than that I've enjoyed what I've played,negative,0.659576952457428
PhsycoRobloxian,2/26/2021,"YESSS this game is soo good. It basically really really fun and even when you don't win, you get some good collectibles along the way to customise yourself. I am like, about 40 collectibles now. I just need 8 more to maximize it and maybe I can buy the other maps to get some pretty new collectibles for my character design. Thank you so much and I hope you guys update regularly!! 💖🎉",positive,0.9829573035240173
