Name,Date,Text,Label,Score
DRG BS,7/17/2020,"It is ok, but here is an issue that I'd like to address for improvement. Online play is a disparaging experience. People tend to quit with no repercussions for it. The game is slow but with details, it is fine if people don't bail. You can tell a player quits when it takes 4 minutes for it to ""auto"" spin. Also, when a player has quit and lands on an action/event tile, the game stops progressing! Stuck until the ""player"" clicks an option. I waited for 20+ min. and the 2 choices were still there!",negative,0.8064666390419006
Saigey Marie,5/31/2021,"The maps could be longer or have an option to switch to 1-5 instead of 1-10 to make it longer and be able to land on more spaces in the game. Could have added power ups or minigames to make it more interesting. The layout is the same in all of them, only the theme is different. I do like the ability to unlock more vehicles, outfits and portraits and the fact there is a nonbinary character. Overall the game is fun but it could be enhanced for better gameplay.",positive,0.6566812992095947
Constance Fontenot,6/21/2021,I love everything about the game but I have a few problems. When playing by myself I literally just now have lost 10 times in a row from the bottom. Please fix. And I keep trying to land on family to complete one of the collections and with 10 games I haven't landed on family once even with risky route and everything. Please pay attention and try to fix. I will give it 5 stars cause other than that it's perfect!,negative,0.7675856351852417
Holly Hedges,3/16/2021,"Not worth it. You pay to download and if you want to open any more boards you have to pay for them. They should have made it so you unlock new boards as you accomplish tasks. I could understand paying for extras like avatars, outfits, and vehicles, but the boards shouldn't be a paid item. It was fun for the first couple of times, but it got boring really quickly. Unless you buy the new boards the game quickly loses its luster.",negative,0.7731763124465942
Wesley Coon,7/16/2020,I love this game so far! Couple of things though! 1) there needs to be a timer for when an online opponent takes too much time just to speed up the game. 2) I feel like different game modes would be an awesome way to kill time and earn prizes. If that's not possible I understand! Overall love the game and I hope to see some great improvements!!!,positive,0.9573578834533691
Fatima Gaskins,7/30/2021,"It's the game of life, but better. The reason for a low rating is that I paid $3.99 for it. Doesn't that mean I should be able to unlock new aspects of the game for free? Why is it $34.99 for all locked content at a ""steal"" of 73% off or $4.99 each? I have no problem paying for a great game, but that should come with a way to unlock all game content for free. If you want to microtransaction people do what other previously paid games (like Plants v. Zombies 2) did and become free.",negative,0.43540266156196594
Maria Wind,11/3/2023,Paid app and not working. Twice now I have had issues with being able to play the game. I contacted support and went through a reset process and it worked for a while but now cannot play again. Just annoying and not worth the money.,negative,0.9256924390792847
vchhjh n v jhrhudhvgiuf,11/7/2023,"It's a very fun game, all the different things you can do deserve in award, Not even Mentioning all the cool maps and environments.",positive,0.9773263335227966
Christian Heard,11/27/2023,"Nostalgia. Love the game, never played the board game, so not sure if it's improved much 🤣",positive,0.7840931415557861
J Peters,9/7/2023,7/10 times it doesn't actually pick up on the fact I've spun. So annoying. Always seems to be when I spin a high number as well.,negative,0.8828239440917969
dstarsfranklin,10/14/2023,Fun and fast. Would like a longer board.,positive,0.9702854752540588
Ziec Gower,11/17/2023,Good up until it wouldn't let me fix my name and changed my name to player.,negative,0.5937255620956421
Emily Buerger,3/30/2022,"I like the game, I like the options, just wish there were more options. Like more kids and houses, being able to choose a longer board vs the shorter boards. I like the collectibles, just wish there were more themes and collectibles to unlock. also wish that some of the options were more spaced out like being able to have kids and houses, not having to pick between one or the other. Would also be cool to see spouses get jobs. Would love to see some more of these options added!",positive,0.8990120887756348
Jesse,4/1/2021,"The game itself is super awesome and addictive, although the Season Pass price is absolutely insane! €20 for cosmetics, nuh, uh! The MAX I would pay is probably €10. I will give this game 5 stars if they lower the price. | Edit: After playing the game some more I noticed that they didn't include all of the fun mini games from the previous version, kinda dissapointing... | Edit 2: Currently there is a special for the Season Pass and they're advertising it at 50% off when it's the SAME PRICE!",positive,0.9529728293418884
Daskut,7/20/2020,"Fun game overall, haven't seen any bugs yet and online works fine. ⚠️Only problem: 130€ (or 35€ at 73% off) for the full content after I already paid for the game!?!? Sorry but that's not gonna happen. I'm fine with having some microtransactions to get customizations and what not (like you have) but not with having to pay for 10 out of 11 maps (that will be released in the future). Easily worth 5 stars but the price makes it 3 until you change this.",positive,0.519711971282959
Sumitra Limbu,12/15/2020,"Very disappointed with the purchase. I was expecting more and thought there would be some perks or something new but I have to purchase and spend another $4/$5 for something new. That doesn't make sense. As fun as this is, the novelty runs off once you reach the end and its the same thing over again so if I paid $4 just for the stimulation and ads-free, it was not worth it.",negative,0.8630903363227844
Nite Crawla,7/15/2020,"The game needs options. 1.) If a choose to speed up the Computer players to 5X speed I think I would want to speed up the other 2 computer players as well. It's assinie to keep having to click 5X speed for each computer players turn. I want to be play my turn not have to wait for all the animations for everything else. 2.) You want to grab my attention to tell me to soon for ""highest soon prize"" or that players are waiting for me to do something? how about a vibration notification?",neutral,0.6385790705680847
Edmin Rossy,9/1/2020,THE GAME OF LIFE 2 is by far the best board game on the market. The reason I give the game a 4 star is because It feels like it's watered down and extremely short. I would really love to see a longer board. I'm excited for the new road maps. As you can tell the biggest issue I have is the game feels extreamly short. Also the next update can you guys add more customization. Can we please have a LEADERBOARD 🙏. Sorry I keep editing but can you add emotions so we can have some type of communication,positive,0.9499502778053284
Jack Peters,4/20/2023,"The game is pretty fun however the description and images imply that other worlds are included. Instead you need to pay extra, a lot extra, in order to be able to play on these worlds. Of course the developer just provides this typical response about how it's normal to pay more for things... False advertising might be normal but it's against the law.",negative,0.507623016834259
Chris Faulk,3/23/2023,I will agree with other reviews that the game mechanics are not at all random or fair. CPU very often gets high number spin or lands on the perfect spot or gets max value for house sale OR high salary OR lands on their own lucky number multiple times in a row. I just played and spun 3 or under 7 times in a row. I actually used to win games but have been 4th place (I do know how to place this game) the last several times I've played. I haven't also landed on a family space in the last 10 rounds.,neutral,0.556143045425415
